name,id,url,source,download_format,sf_compatible,browser_compatible,spatial_filtering,temporal_filtering,NEW_PROVIDER,NEW_PROVIDER_TYPE,provider_name,provider_type,environment,spatial_filtering_clean,temporal_filtering_clean,sf_compatible_clean,Cefas_holding_id_name,Cefas_holding_ID,Second level,Third Level,Fourth Level,Unnamed: 22,spatial_filter_type,epsg_code
All Hauls,cefas_11905_json,https://data-api.cefas.co.uk/api/recordsets/11905/data?page=1&resultsPerPage=50000,https://data.cefas.co.uk/view/21425,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Occurrences of Sensitive Fish Species in Scientific Trawl Surveys of the Northeast Atlantic - 1983-2020,11905,Fisheries Science,Occurrences of Sensitive Fish Species in Scientific Trawl Surveys of the Northeast Atlantic - 1983-2020,,,,
All Microlitter Data JBS3 Nbp Readme Column Headers,cefas_12853_json,https://data-api.cefas.co.uk/api/recordsets/12853/data/1,https://data.cefas.co.uk/view/22014,txt,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Coastal,No,No,Yes,"Abundance of Microlitter (Including Microplastics) in Riverine Samples (Sediment, Surface Waters and Biota) at Selected Locations Across the Orange-Senqu River Basin and Associated Land Use Data - 2021",12853,Pollution,"Abundance of Microlitter (Including Microplastics) in Riverine Samples (Sediment, Surface Waters and Biota) at Selected Locations Across the Orange-Senqu River Basin and Associated Land Use Data - 2021",,,,
Analysed Spim 199801 200109,cefas_13204_zip,https://data-api.cefas.co.uk/api/recordsets/13204/data/1,https://data.cefas.co.uk/view/18133,zip,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Monthly Average Non-Algal Suspended Particulate Matter Concentrations on the UK Shelf Waters,18133,Physical & Chemical Oceanography,Monthly Average Non-Algal Suspended Particulate Matter Concentrations on the UK Shelf Waters,,,,
Analysed Spim 200110 200506,cefas_13205_zip,https://data-api.cefas.co.uk/api/recordsets/13205/data/1,https://data.cefas.co.uk/view/18133,zip,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Monthly Average Non-Algal Suspended Particulate Matter Concentrations on the UK Shelf Waters,18133,Physical & Chemical Oceanography,Monthly Average Non-Algal Suspended Particulate Matter Concentrations on the UK Shelf Waters,,,,
Analysed Spim 200507 200903,cefas_13206_zip,https://data-api.cefas.co.uk/api/recordsets/13206/data/1,https://data.cefas.co.uk/view/18133,zip,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Monthly Average Non-Algal Suspended Particulate Matter Concentrations on the UK Shelf Waters,18133,Physical & Chemical Oceanography,Monthly Average Non-Algal Suspended Particulate Matter Concentrations on the UK Shelf Waters,,,,
Analysed Spim 200904 201212,cefas_13207_zip,https://data-api.cefas.co.uk/api/recordsets/13205/data/1,https://data.cefas.co.uk/view/18133,zip,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Monthly Average Non-Algal Suspended Particulate Matter Concentrations on the UK Shelf Waters,18133,Physical & Chemical Oceanography,Monthly Average Non-Algal Suspended Particulate Matter Concentrations on the UK Shelf Waters,,,,
Analysed Spim 201301 201506,cefas_13208_zip,https://data-api.cefas.co.uk/api/recordsets/13208/data/1,https://data.cefas.co.uk/view/18133,zip,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Monthly Average Non-Algal Suspended Particulate Matter Concentrations on the UK Shelf Waters,18133,Physical & Chemical Oceanography,Monthly Average Non-Algal Suspended Particulate Matter Concentrations on the UK Shelf Waters,,,,
Analysed Spim Individual Years,cefas_8889_zip,https://data-api.cefas.co.uk/api/recordsets/8889/data/1,https://data.cefas.co.uk/view/18133,zip,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Monthly Average Non-Algal Suspended Particulate Matter Concentrations on the UK Shelf Waters,18133,Physical & Chemical Oceanography,Monthly Average Non-Algal Suspended Particulate Matter Concentrations on the UK Shelf Waters,,,,
Ast Data Yersinia Ruckeri CEFAS,cefas_12910_zip,https://data-api.cefas.co.uk/api/recordsets/12910/data/1,https://data.cefas.co.uk/view/22016,zip,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Antibiotic Susceptibility Results for Pathogen Yersinia Ruckeri 1967 - 2023,22016,"Aquaculture, Shellfish & Fish Health",Antibiotic Susceptibility Results for Pathogen Yersinia Ruckeri 1967 - 2023,,,,
Bathy.Tif.Aux,cefas_12681_zip,https://data-api.cefas.co.uk/api/recordsets/12681/data/1,https://data.cefas.co.uk/view/21660,zip,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seahorse Species Predicted Habitat Distributions and Associated Environmental Data Layers Covering the Shelf Seas Surrounding the UK,12681,"Climate Change, Conservation & Human Impacts",Seahorse Species Predicted Habitat Distributions and Associated Environmental Data Layers Covering the Shelf Seas Surrounding the UK,,,,
