name,id,url,source,download_format,sf_compatible,browser_compatible,spatial_filtering,temporal_filtering,NEW_PROVIDER,NEW_PROVIDER_TYPE,provider_name,provider_type,environment,spatial_filtering_clean,temporal_filtering_clean,sf_compatible_clean,Cefas_holding_id_name,Cefas_holding_ID,Second level,Third Level,Fourth Level,Unnamed: 22,spatial_filter_type,epsg_code
CEFAS SWTdata20170707source08,cefas_12942_json,https://data-api.cefas.co.uk/api/recordsets/12942/data?page=1&resultsPerPage=700000,https://data.cefas.co.uk/view/3239,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 08 - Ferry Route Monitoring System (Historical),12942,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 08 - Ferry Route Monitoring System (Historical),,,,
CEFAS SWTdata20170707source09,cefas_12941_json,https://data-api.cefas.co.uk/api/recordsets/12941/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/3240,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 09 - Electronic Data Storage Tag Database,12941,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 09 - Electronic Data Storage Tag Database,,,,
CEFAS SWTdata20170707source10,cefas_12940_json,https://data-api.cefas.co.uk/api/recordsets/12940/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/3241,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 10 - Citizen Science Diver Recorded Temperatures,12940,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 10 - Citizen Science Diver Recorded Temperatures,,,,
CEFAS SWTdata20170707source11,cefas_12932_json,https://data-api.cefas.co.uk/api/recordsets/12932/data?page=1&resultsPerPage=60000,https://data.cefas.co.uk/view/3259,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 11 - Cefas Lowestoft Sample Data Management System,12932,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 11 - Cefas Lowestoft Sample Data Management System,,,,
CEFAS SWTdata20170707source12,cefas_12908_json,https://data-api.cefas.co.uk/api/recordsets/12908/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/3441,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 12 - Mnemiopsis Ecology Modelling and Observation Project,12908,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 12 - Mnemiopsis Ecology Modelling and Observation Project,,,,
CEFAS SWTdata20170707source13,cefas_12907_json,https://data-api.cefas.co.uk/api/recordsets/12907/data?page=1&resultsPerPage=2000000,https://data.cefas.co.uk/view/3442,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 13 - Cefas Multibeam Acoustics - Sound Velocity Profile Temperature Data,12907,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 13 - Cefas Multibeam Acoustics - Sound Velocity Profile Temperature Data,,,,
CEFAS SWTdata20170707source14,cefas_12905_json,https://data-api.cefas.co.uk/api/recordsets/12905/data?page=1&resultsPerPage=2000000,https://data.cefas.co.uk/view/3443,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 14 - Intensive Plankton Surveys Off the North-East Coast of England - 1976,12905,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 14 - Intensive Plankton Surveys Off the North-East Coast of England - 1976,,,,
CEFAS SWTdata20170707source15,cefas_12894_json,https://data-api.cefas.co.uk/api/recordsets/12894/data?page=1&resultsPerPage=2000000,https://data.cefas.co.uk/view/3523,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 15 - Research Vessel Cefas Endeavour FerryBox Monitoring System,11790,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 15 - Research Vessel Cefas Endeavour FerryBox Monitoring System,,,,
CEFAS SWTdata20170707source16,cefas_12893_json,https://data-api.cefas.co.uk/api/recordsets/12893/data?page=1&resultsPerPage=2000000,https://data.cefas.co.uk/view/3521,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 16 - Cefas ScanFish - North & Celtic Seas,11791,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 16 - Cefas ScanFish - North & Celtic Seas,,,,
CEFAS SWTdata20170707source17,cefas_12892_json,https://data-api.cefas.co.uk/api/recordsets/12892/data?page=1&resultsPerPage=2000000,https://data.cefas.co.uk/view/3524,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,Seawater Temperature Records for the UK Shelf - 17 - Cefas ESM2 Profiler/mini CTD Logger,11790,Physical & Chemical Oceanography,Seawater Temperature Records for the UK Shelf - 17 - Cefas ESM2 Profiler/mini CTD Logger,,,,
Cefasdatadoi 130 V2,cefas_11906_json,https://data-api.cefas.co.uk/api/recordsets/11906/data?page=1&resultsPerPage=20000,https://data.cefas.co.uk/view/21431,json,F,T,F,F,CEFAS,Executive Agency,CEFAS,UK Government,Marine,No,No,Yes,International (ICES) and National (UK) Fish Stock and Shellfish Stock Data from 2021 Assessment Year,11906,Fisheries Science,International (ICES) and National (UK) Fish Stock and Shellfish Stock Data from 2021 Assessment Year,,,,
